Current Period,Customer ID,Periods Active,Current Customer (Y/N),Period Acquired,Period Terminated,Acquisition Channel,Sector,Referred (Y/N),Premium (Y/N),Region,Co. Age,Size,No. Maker Contracts,No. Advanced Contracts,"Revenue, Total",Maker Revenue,Advanced Revenue,Expected CLV
9,1518,1,N,-4,-3,Internal,Automotive,N,N,Northeast,10+yrs,Medium,0,1,29000,0,29000,15841
9,1519,1,N,-4,-3,Internal,Automotive,N,N,Northeast,0-5yrs,Small,0,1,29000,0,29000,175727
9,1520,1,N,-4,-3,Internal,Automotive,N,N,Southwest,6-10yrs,Large,1,0,21000,21000,0,75223
9,1521,2,N,-4,-2,Internal,Automotive,N,N,Southwest,6-10yrs,Medium,0,2,58000,0,58000,34138
9,1522,1,N,-4,-3,Internal,Automotive,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,132875
9,1523,3,N,-4,-1,Internal,Automotive,N,N,Midwest,0-5yrs,Large,3,1,92000,63000,29000,87845
9,1524,1,N,-4,-3,Internal,Automotive,N,N,Southeast,0-5yrs,Medium,0,0,0,0,0,38188
9,1525,2,N,-4,-2,Internal,Automotive,N,N,West,0-5yrs,Small,1,1,50000,21000,29000,87071
9,1526,3,N,-4,-1,Internal,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,144148
9,1527,1,N,-4,-3,Internal,Automotive,N,N,Southwest,10+yrs,Medium,0,0,0,0,0,59594
9,1528,1,N,-4,-3,Internal,Automotive,N,N,West,0-5yrs,Medium,0,0,0,0,0,12075
9,1529,1,N,-4,-3,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,0,1,29000,0,29000,87772
9,1530,2,N,-4,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,1,29000,0,29000,87514
9,1531,1,N,-4,-3,Internal,Automotive,N,N,Northeast,6-10yrs,Small,0,1,29000,0,29000,10265
9,1532,1,N,-4,-3,Internal,Automotive,N,N,Northeast,10+yrs,Small,1,0,21000,21000,0,64323
9,1533,1,N,-4,-3,Internal,Automotive,N,N,Midwest,10+yrs,Medium,1,2,79000,21000,58000,115294
9,1534,1,N,-4,-3,Internal,Automotive,N,N,West,6-10yrs,Medium,0,1,29000,0,29000,131223
9,1535,1,N,-4,-3,Internal,Automotive,N,N,Southwest,10+yrs,Medium,0,1,29000,0,29000,161796
9,1536,3,N,-4,-1,Internal,Automotive,N,N,Southeast,6-10yrs,Large,1,0,21000,21000,0,4425
9,1537,2,N,-4,-2,Internal,Automotive,N,N,Southwest,0-5yrs,Small,1,1,50000,21000,29000,124944
9,1538,1,N,-4,-3,Internal,Automotive,N,N,Southwest,0-5yrs,Small,0,0,0,0,0,19331
9,1539,2,N,-4,-2,Internal,Automotive,N,N,Northeast,10+yrs,Small,0,3,87000,0,87000,58333
9,1540,1,N,-4,-3,Internal,Automotive,N,N,Midwest,6-10yrs,Small,0,0,0,0,0,18805
9,1541,1,N,-4,-3,Internal,Automotive,N,N,Southeast,10+yrs,Medium,0,2,58000,0,58000,36724
9,1542,2,N,-4,-2,Internal,Automotive,N,N,Southwest,10+yrs,Small,0,3,87000,0,87000,92349
9,1543,1,N,-4,-3,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,0,0,0,0,12780
9,1544,1,N,-4,-3,Internal,Automotive,N,N,Southwest,0-5yrs,Small,1,1,50000,21000,29000,39326
9,1545,2,N,-4,-2,Internal,Automotive,N,N,West,0-5yrs,Large,3,0,63000,63000,0,66890
9,1546,1,N,-4,-3,Internal,Automotive,N,N,Northeast,6-10yrs,Medium,1,1,50000,21000,29000,65795
9,1547,3,N,-4,-1,Internal,Automotive,N,N,West,10+yrs,Small,0,2,58000,0,58000,35272
9,1548,2,N,-4,-2,Internal,Automotive,N,N,Southeast,0-5yrs,Small,0,0,0,0,0,3717
9,1549,8,N,-4,4,Internal,Automotive,N,N,Midwest,0-5yrs,Large,1,1,50000,21000,29000,92165
9,1550,2,N,-4,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,180851
9,1551,3,N,-4,-1,Internal,Automotive,N,N,West,6-10yrs,Small,0,2,58000,0,58000,100873
9,1580,1,N,-3,-2,Referral,Automotive,Y,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,41416
9,1581,1,N,-3,-2,Outsourced,Automotive,N,N,Southeast,10+yrs,Small,1,1,50000,21000,29000,39742
9,1582,3,N,-3,0,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,0,1,29000,0,29000,31699
9,1583,2,N,-3,-1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,1,0,21000,21000,0,265636
9,1584,3,N,-3,0,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,41887
9,1585,3,N,-3,0,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,1858
9,1586,2,N,-3,-1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Medium,0,0,0,0,0,22179
9,1587,1,N,-3,-2,Outsourced,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,60432
9,1588,1,N,-3,-2,Outsourced,Automotive,N,N,Northeast,6-10yrs,Small,0,0,0,0,0,44686
9,1589,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,6-10yrs,Large,1,0,21000,21000,0,5575
9,1590,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,6-10yrs,Small,1,0,21000,21000,0,19558
9,1591,2,N,-3,-1,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,1,0,21000,21000,0,140223
9,1592,2,N,-3,-1,Outsourced,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,160531
9,1593,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,10+yrs,Small,0,0,0,0,0,12057
9,1594,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,159217
9,1595,1,N,-3,-2,Outsourced,Automotive,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,30933
9,1596,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,0,0,0,0,0,33048
9,1597,4,N,-3,1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Medium,1,2,79000,21000,58000,168596
9,1598,1,N,-3,-2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,1,1,50000,21000,29000,126770
9,1599,1,N,-3,-2,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,22581
9,1600,2,N,-3,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,0,1,29000,0,29000,237410
9,1601,4,N,-3,1,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,3,0,63000,63000,0,7220
9,1602,1,N,-3,-2,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,0,0,0,0,0,28744
9,1603,1,N,-3,-2,Outsourced,Automotive,N,N,Southwest,10+yrs,Medium,0,1,29000,0,29000,64423
9,1604,2,N,-3,-1,Outsourced,Automotive,N,N,West,6-10yrs,Small,2,1,71000,42000,29000,97873
9,1605,1,N,-3,-2,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,0,0,0,0,151053
9,1606,1,N,-3,-2,Internal,Automotive,N,N,Midwest,10+yrs,Small,1,0,21000,21000,0,29709
9,1607,1,N,-3,-2,Internal,Automotive,N,N,Midwest,6-10yrs,Small,0,0,0,0,0,119177
9,1608,3,N,-3,0,Internal,Automotive,N,N,Southeast,10+yrs,Medium,0,1,29000,0,29000,149347
9,1609,1,N,-3,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Small,0,1,29000,0,29000,55969
9,1610,2,N,-3,-1,Internal,Automotive,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,17195
9,1611,1,N,-3,-2,Internal,Automotive,N,N,Northeast,6-10yrs,Small,0,0,0,0,0,107856
9,1612,1,N,-3,-2,Internal,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,6482
9,1613,1,N,-3,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,1,29000,0,29000,167062
9,1614,1,N,-3,-2,Internal,Automotive,N,N,West,0-5yrs,Medium,0,1,29000,0,29000,171046
9,1615,1,N,-3,-2,Internal,Automotive,N,N,West,6-10yrs,Small,0,1,29000,0,29000,21601
9,1616,3,N,-3,0,Internal,Automotive,N,N,Midwest,10+yrs,Large,0,1,29000,0,29000,26636
9,1617,1,N,-3,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Small,2,1,71000,42000,29000,87625
9,1618,2,N,-3,-1,Internal,Automotive,N,N,West,6-10yrs,Small,2,3,129000,42000,87000,227539
9,1619,1,N,-3,-2,Internal,Automotive,N,N,Northeast,0-5yrs,Medium,0,1,29000,0,29000,277893
9,1620,1,N,-3,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Small,0,0,0,0,0,150824
9,1621,1,N,-3,-2,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,52363
9,1622,1,N,-3,-2,Internal,Automotive,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,141868
9,1623,1,N,-3,-2,Internal,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,57622
9,1624,2,N,-3,-1,Internal,Automotive,N,N,Midwest,10+yrs,Small,1,2,79000,21000,58000,402318
9,1625,1,N,-3,-2,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,2,2,100000,42000,58000,70574
9,1626,2,N,-3,-1,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,0,2,58000,0,58000,25672
9,1627,3,N,-3,0,Internal,Automotive,N,N,West,0-5yrs,Small,0,1,29000,0,29000,86868
9,1628,3,N,-3,0,Internal,Automotive,N,N,Southwest,6-10yrs,Small,2,1,71000,42000,29000,24425
9,1629,4,N,-3,1,Internal,Automotive,N,N,West,0-5yrs,Medium,1,2,79000,21000,58000,247098
9,1630,1,N,-3,-2,Internal,Automotive,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,140710
9,1667,3,N,-2,1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Large,0,1,29000,0,29000,137545
9,1668,3,N,-2,1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Medium,4,3,171000,84000,87000,182194
9,1669,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,6-10yrs,Small,0,2,58000,0,58000,35980
9,1670,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,0,1,29000,0,29000,20973
9,1671,2,N,-2,0,Outsourced,Automotive,N,N,Midwest,6-10yrs,Small,0,2,58000,0,58000,377427
9,1672,1,N,-2,-1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,0,2,58000,0,58000,151671
9,1673,2,N,-2,0,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,0,0,0,0,0,92978
9,1674,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,2,1,71000,42000,29000,48649
9,1675,1,N,-2,-1,Outsourced,Automotive,N,N,Southeast,6-10yrs,Medium,0,1,29000,0,29000,26437
9,1676,1,N,-2,-1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,1,50000,21000,29000,27687
9,1677,1,N,-2,-1,Outsourced,Automotive,N,N,West,0-5yrs,Small,1,0,21000,21000,0,41003
9,1678,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,10+yrs,Small,1,1,50000,21000,29000,182259
9,1679,1,N,-2,-1,Outsourced,Automotive,N,N,Southeast,10+yrs,Small,1,0,21000,21000,0,18584
9,1680,3,N,-2,1,Outsourced,Automotive,N,N,West,0-5yrs,Small,3,0,63000,63000,0,64919
9,1681,4,N,-2,2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,3,108000,21000,87000,186144
9,1682,1,N,-2,-1,Outsourced,Automotive,N,N,West,10+yrs,Medium,0,0,0,0,0,64347
9,1683,5,N,-2,3,Outsourced,Automotive,N,N,West,6-10yrs,Small,2,0,42000,42000,0,251789
9,1684,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,41385
9,1685,1,N,-2,-1,Outsourced,Automotive,N,N,West,10+yrs,Small,0,1,29000,0,29000,8341
9,1686,2,N,-2,0,Outsourced,Automotive,N,N,Southeast,6-10yrs,Small,2,1,71000,42000,29000,159920
9,1687,3,N,-2,1,Outsourced,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,7737
9,1688,2,N,-2,0,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,1,1,50000,21000,29000,75946
9,1689,1,N,-2,-1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,1,3,108000,21000,87000,84541
9,1690,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,2,1,71000,42000,29000,162288
9,1691,2,N,-2,0,Outsourced,Automotive,N,N,Northeast,10+yrs,Large,2,1,71000,42000,29000,84990
9,1692,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,0,0,0,0,64899
9,1693,1,N,-2,-1,Outsourced,Automotive,N,N,Southwest,6-10yrs,Small,0,1,29000,0,29000,127920
9,1694,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Medium,0,0,0,0,0,20388
9,1695,4,N,-2,2,Outsourced,Automotive,N,N,Northeast,0-5yrs,Medium,2,0,42000,42000,0,85706
9,1696,1,N,-2,-1,Outsourced,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,50363
9,1697,2,N,-2,0,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,0,0,0,0,0,0
9,1698,2,N,-2,0,Outsourced,Automotive,N,N,West,0-5yrs,Medium,1,1,50000,21000,29000,110784
9,1699,1,N,-2,-1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,0,0,0,0,0,16341
9,1700,3,N,-2,1,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,0,0,0,0,292428
9,1701,1,N,-2,-1,Outsourced,Automotive,N,N,Southwest,6-10yrs,Medium,1,0,21000,21000,0,9558
9,1702,1,N,-2,-1,Outsourced,Automotive,N,N,West,6-10yrs,Small,2,0,42000,42000,0,39607
9,1703,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,2,0,42000,42000,0,13009
9,1704,3,N,-2,1,Outsourced,Automotive,N,N,Midwest,10+yrs,Small,3,0,63000,63000,0,246648
9,1705,1,N,-2,-1,Outsourced,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,13935
9,1706,1,N,-2,-1,Outsourced,Automotive,N,N,West,6-10yrs,Small,0,1,29000,0,29000,214388
9,1707,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,0,0,0,0,0,28805
9,1708,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,0,2,58000,0,58000,76928
9,1709,3,N,-2,1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,2,2,100000,42000,58000,104152
9,1710,2,N,-2,0,Outsourced,Automotive,N,N,Northeast,0-5yrs,Medium,2,0,42000,42000,0,220694
9,1711,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,0,2,58000,0,58000,17898
9,1712,4,N,-2,2,Outsourced,Automotive,N,N,Southeast,10+yrs,Small,1,0,21000,21000,0,4542
9,1713,1,N,-2,-1,Outsourced,Automotive,N,N,West,10+yrs,Small,0,1,29000,0,29000,69850
9,1714,3,N,-2,1,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,37392
9,1715,1,N,-2,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,25374
9,1716,3,N,-2,1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,1,3,108000,21000,87000,120703
9,1717,1,N,-2,-1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,29543
9,1718,1,N,-2,-1,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,23854
9,1719,2,N,-2,0,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,2271
9,1720,1,N,-2,-1,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,0,2,58000,0,58000,81247
9,1721,1,N,-2,-1,Outsourced,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,14624
9,1722,1,N,-2,-1,Outsourced,Automotive,N,N,West,10+yrs,Small,2,2,100000,42000,58000,35730
9,1723,2,N,-2,0,Internal,Automotive,N,N,Northeast,0-5yrs,Small,0,1,29000,0,29000,46527
9,1724,1,N,-2,-1,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,1,29000,0,29000,163659
9,1725,2,N,-2,0,Internal,Automotive,N,N,Southwest,0-5yrs,Small,0,0,0,0,0,12566
9,1726,2,N,-2,0,Internal,Automotive,N,N,Northeast,10+yrs,Small,0,0,0,0,0,36224
9,1727,4,N,-2,2,Internal,Automotive,N,N,Northeast,0-5yrs,Small,1,1,50000,21000,29000,40708
9,1728,11,Y,-2,,Internal,Automotive,N,Y,Midwest,6-10yrs,Medium,3,3,216000,96000,120000,216010
9,1729,1,N,-2,-1,Internal,Automotive,N,N,Midwest,10+yrs,Small,0,1,29000,0,29000,110547
9,1730,1,N,-2,-1,Internal,Automotive,N,N,West,0-5yrs,Small,0,0,0,0,0,126045
9,1731,3,N,-2,1,Internal,Automotive,N,N,Northeast,10+yrs,Small,0,2,58000,0,58000,142976
9,1732,11,Y,-2,,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,1,1,50000,21000,29000,334396
9,1733,3,N,-2,1,Internal,Automotive,N,N,Northeast,0-5yrs,Small,0,0,0,0,0,25460
9,1734,1,N,-2,-1,Internal,Automotive,N,N,Southeast,0-5yrs,Large,0,0,0,0,0,17326
9,1735,3,N,-2,1,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,0,0,0,0,0
9,1736,1,N,-2,-1,Internal,Automotive,N,N,Southwest,6-10yrs,Medium,0,5,145000,0,145000,135699
9,1737,3,N,-2,1,Internal,Automotive,N,N,Midwest,0-5yrs,Medium,0,0,0,0,0,403170
9,1738,2,N,-2,0,Internal,Automotive,N,N,West,0-5yrs,Medium,0,2,58000,0,58000,111812
9,1739,1,N,-2,-1,Internal,Automotive,N,N,Northeast,10+yrs,Small,0,0,0,0,0,58419
9,1740,2,N,-2,0,Internal,Automotive,N,N,West,6-10yrs,Small,0,0,0,0,0,251142
9,1741,2,N,-2,0,Internal,Automotive,N,N,Midwest,0-5yrs,Large,0,0,0,0,0,28236
9,1742,2,N,-2,0,Internal,Automotive,N,N,Midwest,0-5yrs,Small,3,0,63000,63000,0,58860
9,1743,2,N,-2,0,Internal,Automotive,N,N,Southeast,0-5yrs,Medium,1,1,50000,21000,29000,110763
9,1744,5,N,-2,3,Internal,Automotive,N,N,Southeast,0-5yrs,Small,1,0,21000,21000,0,170717
9,1745,1,N,-2,-1,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,1,1,50000,21000,29000,27866
9,1746,4,N,-2,2,Internal,Automotive,N,N,Southeast,0-5yrs,Small,3,0,63000,63000,0,267137
9,1747,2,N,-2,0,Internal,Automotive,N,N,Southeast,0-5yrs,Medium,0,0,0,0,0,9380
9,1748,4,N,-2,2,Internal,Automotive,N,N,Southeast,0-5yrs,Small,0,0,0,0,0,74082
9,1749,1,N,-2,-1,Internal,Automotive,N,N,Southeast,0-5yrs,Small,1,0,21000,21000,0,1858
9,1750,1,N,-2,-1,Internal,Automotive,N,N,West,0-5yrs,Small,0,2,58000,0,58000,127033
9,1751,1,N,-2,-1,Internal,Automotive,N,N,Midwest,0-5yrs,Small,0,0,0,0,0,174454
9,1752,2,N,-2,0,Internal,Automotive,N,N,Southwest,0-5yrs,Small,1,3,108000,21000,87000,141434
9,1753,3,N,-2,1,Internal,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,5575
9,1754,3,N,-2,1,Internal,Automotive,N,N,Northeast,6-10yrs,Small,1,2,79000,21000,58000,44513
9,1755,4,N,-2,2,Internal,Automotive,N,N,Southwest,0-5yrs,Large,2,0,42000,42000,0,76999
9,1756,1,N,-2,-1,Internal,Automotive,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,84828
9,1757,1,N,-2,-1,Internal,Automotive,N,N,Southeast,6-10yrs,Small,1,1,50000,21000,29000,91016
9,1758,1,N,-2,-1,Internal,Automotive,N,N,Northeast,0-5yrs,Small,1,0,21000,21000,0,214316
9,1759,2,N,-2,0,Internal,Automotive,N,N,West,0-5yrs,Medium,0,1,29000,0,29000,9292
9,1760,2,N,-2,0,Internal,Automotive,N,N,West,6-10yrs,Medium,1,2,79000,21000,58000,20531
9,1761,1,N,-2,-1,Internal,Automotive,N,N,West,6-10yrs,Small,0,1,29000,0,29000,76918
